,Income,Outcome,Balance,is_holiday,is_workday,first_workday,last_workday,usd,eur,ruonia,vol_ruonia,lag_1,lag_in1,lag_out1,lag_2,lag_in2,lag_out2,lag_3,lag_in3,lag_out3,lag_5,lag_in5,lag_out5,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,diff_1,day_of_month,is_month_start,is_month_end,is_month_start_lag,is_month_end_lag,rate_russ,real_inflation,target_inflation,real_target_diff,rate_usa,tax_may,tax_day,tax_new2,tax_new,plus_new,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_2,quarter_3,quarter_4,year_2018,year_2019,year_2020,year_2021,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,is_holiday_balance
2020-06-30,2.370050197404509,2.1462121232051943,0.22318027273165145,False,True,False,True,69.9513,78.6812,4.38,67.0,-0.0730568445516607,2.2515476875342837,2.3305493607811005,-0.00958416286377342,0.001397881389941938,0.01098204425371536,-0.00958416286377342,0.001397881389941938,0.01098204425371536,-0.14102833576725943,2.3568832518633727,2.5017196528158707,-0.23086500066694568,0.2283127087836278,-0.5849249520149771,-0.00958416286377342,-0.17058512376875581,0.19456790613102815,-0.5849249520149771,0.08699560925067572,0.29623711728331215,30,0,1,0.0,0.0,4.5,3.2,4.0,0.7999999999999998,0.25,1,0,1,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0
2020-07-01,0.0062183297097112376,0.03525811023609333,-0.02903978052638209,False,False,False,False,70.4413,78.9929,4.38,67.0,0.22318027273165145,2.370050197404509,2.1462121232051943,-0.0730568445516607,2.2515476875342837,2.3305493607811005,-0.00958416286377342,0.001397881389941938,0.01098204425371536,-0.5849249520149771,1.6590351381831563,2.238380741993147,-0.14199092266191152,0.2693753363756003,-0.5849249520149771,0.22318027273165145,-0.1306678383146851,0.21440977292224117,-0.5849249520149771,0.22318027273165145,-0.25222005325803354,1,1,0,0.0,1.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.02903978052638209
2020-07-02,2.225213796452011,2.541220489439279,-0.31075768214179106,False,True,True,False,70.4413,79.1901,4.22,180.55,-0.02903978052638209,0.0062183297097112376,0.03525811023609333,0.22318027273165145,2.370050197404509,2.1462121232051943,-0.0730568445516607,2.2515476875342837,2.3305493607811005,-0.00958416286377342,0.001397881389941938,0.01098204425371536,-0.08914828083659644,0.24582108569282693,-0.5849249520149771,0.22318027273165145,-0.1389560804416178,0.20747925118456287,-0.5849249520149771,0.22318027273165145,-0.281717901615409,2,0,0,1.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.0
2020-07-03,2.0803773954995135,1.975041831170424,0.11302842334983706,False,True,False,False,70.5198,79.5181,4.05,135.3,-0.31075768214179106,2.225213796452011,2.541220489439279,-0.02903978052638209,0.0062183297097112376,0.03525811023609333,0.22318027273165145,2.370050197404509,2.1462121232051943,-0.00958416286377342,0.001397881389941938,0.01098204425371536,-0.1133953303186724,0.25976649380239414,-0.5849249520149771,0.22318027273165145,-0.1571475754872593,0.21079211341816403,-0.5849249520149771,0.22318027273165145,0.4237861054916281,3,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0
2020-07-04,2.0803773954995135,1.975041831170424,0.11302842334983706,False,False,False,False,70.4999,79.2207,4.05,135.3,0.11302842334983706,2.0803773954995135,1.975041831170424,-0.31075768214179106,2.225213796452011,2.541220489439279,-0.02903978052638209,0.0062183297097112376,0.03525811023609333,-0.0730568445516607,2.2515476875342837,2.3305493607811005,-0.013687705266556077,0.1654327891964381,-0.31075768214179106,0.22318027273165145,-0.13670148559277115,0.222661756065458,-0.5849249520149771,0.22318027273165145,0.0,4,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.11302842334983706
2020-07-05,2.0803773954995135,1.975041831170424,0.11302842334983706,False,False,False,False,70.4999,79.2207,4.05,135.3,0.11302842334983706,2.0803773954995135,1.975041831170424,0.11302842334983706,2.0803773954995135,1.975041831170424,-0.31075768214179106,2.225213796452011,2.541220489439279,0.22318027273165145,2.370050197404509,2.1462121232051943,0.0038283784782454206,0.17228875582911637,-0.31075768214179106,0.22318027273165145,-0.12679466697021968,0.23091451913880096,-0.5849249520149771,0.22318027273165145,0.0,5,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.11302842334983706
2020-07-06,1.8433723757590625,2.0935443410406496,-0.25512823763889464,False,True,False,False,70.4999,79.2207,4.11,118.3,0.11302842334983706,2.0803773954995135,1.975041831170424,0.11302842334983706,2.0803773954995135,1.975041831170424,0.11302842334983706,2.0803773954995135,1.975041831170424,-0.02903978052638209,0.0062183297097112376,0.03525811023609333,0.02134446222304692,0.17686979840044822,-0.31075768214179106,0.22318027273165145,-0.11688784834766822,0.23843947520146266,-0.5849249520149771,0.22318027273165145,-0.3681566609887317,6,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0
2020-07-07,1.6195343015597479,1.461530955066114,0.14992078118544952,False,True,False,False,71.3409,80.5581,4.25,133.85,-0.25512823763889464,1.8433723757590625,2.0935443410406496,0.11302842334983706,2.0803773954995135,1.975041831170424,0.11302842334983706,2.0803773954995135,1.975041831170424,-0.31075768214179106,2.225213796452011,2.541220489439279,-0.0046657367894150726,0.20432302341994116,-0.31075768214179106,0.22318027273165145,-0.1177653687281803,0.23896071768824817,-0.5849249520149771,0.22318027273165145,0.4050490188243442,7,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0
2020-07-08,1.461530955066114,1.4351970639838416,0.025011624382141263,False,True,False,False,72.1719,81.4676,4.3,135.05,0.14992078118544952,1.6195343015597479,1.461530955066114,-0.25512823763889464,1.8433723757590625,2.0935443410406496,0.11302842334983706,2.0803773954995135,1.975041831170424,0.11302842334983706,2.0803773954995135,1.975041831170424,-0.015131378438872495,0.1922255044194059,-0.31075768214179106,0.14992078118544952,-0.07856115055039192,0.23425971817001653,-0.5849249520149771,0.22318027273165145,-0.12490915680330826,8,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0
2020-07-09,1.7643707025122455,1.64586819264202,0.11320293204191212,False,True,False,False,71.2379,80.4062,4.28,120.75,0.025011624382141263,1.461530955066114,1.4351970639838416,0.14992078118544952,1.6195343015597479,1.461530955066114,-0.25512823763889464,1.8433723757590625,2.0935443410406496,0.11302842334983706,2.0803773954995135,1.975041831170424,-0.007409749166226298,0.19265881734829446,-0.31075768214179106,0.14992078118544952,-0.048279015001411296,0.21637871232173453,-0.5849249520149771,0.22318027273165145,0.08819130765977086,9,0,0,0.0,0.0,4.25,3.4,4.0,0.6000000000000001,0.25,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0
