Timestamp,Income,Outcome,Balance,Date,week_day,week_day_name,is_holiday,tax_day,rate_russ,real_inflation,target_inflation,real_target_diff,rate_usa
2019-08-21,1.3693623362781608,1.1882656976336194,0.1810966386445414,2019-08-21,2,Wen,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-22,2.1067112865817856,1.724869865888837,0.3818414206929486,2019-08-22,3,Thu,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-23,1.7380368114299731,1.5800334649363392,0.1580033464936339,2019-08-23,4,Fri,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-26,1.6722020837242924,2.0803773954995135,-0.40817531177522115,2019-08-26,0,Mon,False,1,7.0,4.0,4.0,0.0,2.5
2019-08-27,1.5932004104774755,1.4483640095249777,0.14483640095249783,2019-08-27,1,Tue,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-28,1.47469790060725,1.395696227360433,0.07900167324681706,2019-08-28,2,Wen,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-29,1.632701247100884,1.395696227360433,0.23700501974045096,2019-08-29,3,Thu,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-30,1.7643707025122455,1.6063673560186116,0.1580033464936339,2019-08-30,4,Fri,False,0,7.0,4.0,4.0,0.0,2.5
2019-09-02,1.4351970639838416,1.632701247100884,-0.19750418311704232,2019-09-02,0,Mon,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-03,1.724869865888837,1.382529281819297,0.34234058406954015,2019-09-03,1,Tue,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-04,1.4088631729015693,1.2630144621649606,0.14584871073660866,2019-09-04,2,Wen,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-05,2.77822550917973,1.3693623362781608,1.408863172901569,2019-09-05,3,Thu,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-06,1.3430284451958885,1.4483640095249777,-0.10533556432908919,2019-09-06,4,Fri,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-09,1.5273656827717947,1.6985359748065647,-0.17117029203476997,2019-09-09,0,Mon,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-10,1.8170384846767902,1.3110356258641334,0.5060028588126568,2019-09-10,1,Tue,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-11,1.144439597440434,1.2274901325907042,-0.08305053515027017,2019-09-11,2,Wen,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-12,2.1462121232051943,1.382529281819297,0.7636828413858974,2019-09-12,3,Thu,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
2019-09-13,1.64586819264202,1.47469790060725,0.17117029203476997,2019-09-13,4,Fri,False,0,6.5,3.8,4.0,0.20000000000000018,2.25
