Timestamp,tax_day,lag_outcome_1,rolling_mean_7,rolling_mean_14,week_day_0,week_day_2,week_day_3,week_day_5,month_2,month_4,month_5,month_8,month_11,month_12,Balance
2017-11-28,0,1.803871539135654,-0.05437552869050117,-0.07394645021219722,0,0,0,0,0,0,0,0,1,0,0.0526677821645444
2017-11-29,0,1.3693623362781608,-0.05077947396809753,-0.04196958246943799,0,1,0,0,0,0,0,0,1,0,0.5052814480549224
2017-11-30,0,1.1142528535048255,0.04274899299026764,0.006051263024161808,0,0,1,0,0,0,0,0,1,0,0.3686744751518125
2017-12-01,0,1.3430284451958885,0.08652544004494793,0.04060733958713951,0,0,0,0,0,0,0,0,0,1,0.0973611129160787
2017-12-04,0,1.1019257718289142,0.10542071580294528,0.05226418534583661,1,0,0,0,0,0,0,0,0,1,0.1185025098702254
2017-12-05,0,1.4088631729015693,0.10482594102939476,0.04933551962882589,0,0,0,0,0,0,0,0,0,1,0.1806170732205645
2017-12-06,0,1.1492444264341877,0.12506117899707406,0.05174885857677188,0,1,0,0,0,0,0,0,0,1,0.2979152243076024
2017-12-07,0,1.0977810030528306,0.23157423224082146,0.08859935177516018,0,0,1,0,0,0,0,0,0,1,0.2128521868920871
2017-12-08,0,1.1433432038449374,0.2544577186304704,0.10183912233118646,0,0,0,0,0,0,0,0,0,1,0.3200912593941052
2017-12-11,0,1.1019388590486,0.22800197739321085,0.13537548519173925,1,0,0,0,0,0,0,0,0,1,0.0131669455411362
2017-12-12,0,1.5141987372306585,0.1772151874488285,0.13187031374688823,0,0,0,0,0,0,0,0,0,1,0.0921686187879531
2017-12-13,0,1.4351970639838416,0.17647340257338198,0.14094705918816366,0,1,0,0,0,0,0,0,0,1,-0.0303197694415744
2017-12-14,0,1.2296666999481634,0.15521307695741057,0.1300195089934027,0,0,1,0,0,0,0,0,0,1,0.3143656877294556
2017-12-15,0,1.1603322128777944,0.17432002188725218,0.14969060044216315,0,0,0,0,0,0,0,0,0,1,0.974353970044076
